employee_id,first_name,last_name,email,phone_number,department,job_title,hire_date,days_service,base_salary,bonus_percentage,status,birth_date,address,city,state,zip_code,country,gender,education,performance_score,last_review_date,employee_level,vacation_days,sick_days,work_location,shift,emergency_contact,ssn,bank_account
EMP579148,Elizabeth,Jones,elizabeth.jones@company.com,(895)675-8832x4613,IT,Systems Administrator,2024-11-14,147,30676.58,5.96,Active,1983-09-08,2172 Lloyd Circle,Springfield,MA,19729,USA,F,Professional,81.97,2024-12-27,Entry,16,7,Hybrid,Flexible,2895458302,522-46-2261,ZSIT55226194979850
EMP305672,Jenny,Petty,jenny.petty@company.com,863-740-1819x029,Development,DevOps Engineer,2020-08-11,1703,30000.0,7.14,Active,2006-08-10,9554 Clayton Crest Apt. 929,Spokane,WA,57272,USA,F,Professional,89.46,2023-04-07,Senior,13,6,Remote,Day,(881)940-0873,728-20-9835,DULE90229731264471
EMP396115,Lee,White,lee.white@company.com,(673)528-2202x53316,Customer Service,Customer Success Manager,2020-09-18,1665,30000.0,8.75,Inactive,1965-09-13,0350 Debra Divide,Seattle,WA,94625,USA,M,Professional,84.13,2020-10-12,Senior,11,9,Remote,Day,5937674929,266-07-8453,JSQW39418094116026
EMP798602,Michael,Rice,michael.rice@company.com,(921)559-1209x9455,HHRR,HR Manager,2025-03-27,14,84672.76,8.05,Inactive,2004-06-16,5420 Oscar Overpass,Springfield,MA,59655,USA,Other,Master,68.02,2025-04-06,Entry,13,5,Hybrid,Day,614.593.1347,856-99-0056,IBOH57321639514182
EMP434271,Chris,Brown,chris.brown@company.com,001-939-884-0708x645,Security,Security Manager,2023-07-25,625,48239.03,5.99,Active,1961-08-10,0078 Lee Springs Suite 024,Los Angeles,CA,74116,USA,M,High School,72.23,2023-09-30,Mid,12,4,Remote,Day,413-663-4925,027-51-9361,JMTP24628483951132
EMP531170,Steven,Gross,steven.gross@company.com,303.895.0199x987,Support,Customer Support Representative,2023-11-18,509,30000.0,2.22,Inactive,1966-03-08,3335 Fisher Crest,Rockford,IL,79822,USA,M,Master,89.5,2024-03-13,Mid,13,5,Remote,Night,306-639-9642x326,759-04-2280,NLOU48090908808299
EMP267300,Scott,Williams,scott.williams@company.com,775-492-8303x323,HHRR,Employee Relations Specialist,2020-07-15,1730,78914.44,5.89,Inactive,1993-05-07,87549 Larry Parkways Apt. 572,Tacoma,WA,71253,USA,M,Master,68.03,2022-05-18,Senior,11,4,Hybrid,Flexible,552.289.6527x15880,611-81-8999,ELDM41203402116316
EMP233622,Troy,Rodgers,troy.rodgers@company.com,728.829.7929,Sales,Regional Sales Director,2024-03-01,405,72031.15,7.93,Inactive,1974-01-12,710 Harmon Mission,Seattle,WA,46425,USA,M,Master,56.44,2024-03-28,Mid,8,7,Hybrid,Day,(374)470-8035,045-62-4917,LHOS76566363732521
EMP391990,Jason,Cox,jason.cox@company.com,466-415-0183x3201,Procurement,Purchasing Agent,2023-10-18,540,53216.67,2.72,Active,1980-04-18,2610 Allen Place,Allentown,PA,22548,USA,M,High School,76.03,2023-12-26,Mid,12,8,Office,Flexible,4193140856,713-67-3759,JQAL72753348387305
EMP687422,Mark,Mendez,mark.mendez@company.com,800-398-6993x19999,Procurement,Vendor Manager,2021-09-19,1299,59608.44,5.41,Inactive,1999-12-12,5241 Harmon Locks Suite 647,Miami,FL,36142,USA,M,Professional,73.62,2022-10-18,Senior,17,8,Remote,Day,767.310.7308x816,109-67-1303,BFFY35046411580084
EMP695043,James,Harris,james.harris@company.com,649.524.5906,IT,Network Engineer,2022-07-04,1011,80382.7,7.75,Active,2004-03-04,9843 Ewing Trail Apt. 045,Augusta,GA,44665,USA,Other,Master,73.31,2023-11-25,Senior,19,6,Office,Day,718-295-8588x85635,025-60-9047,LZDP71273618403645
EMP434901,Ryan,Walker,ryan.walker@company.com,+1-452-308-1609x38745,Logistics,Warehouse Supervisor,2024-06-06,308,91572.69,4.34,Active,1976-03-15,426 Olsen Harbor Apt. 627,Spokane,WA,90392,USA,M,PhD,60.49,2025-02-18,Entry,16,1,Remote,Night,(379)689-6307x3981,429-18-2404,TPYL53332595077900
EMP848615,Kayla,Gonzalez,kayla.gonzalez@company.com,(894)377-8471x4002,Quality,Quality Control Inspector,2021-07-15,1365,56376.95,5.73,Active,1965-01-18,0902 Hopkins Street,Worcester,MA,25059,USA,F,Professional,71.93,2023-02-03,Senior,11,9,Remote,Night,(339)955-6204,673-39-1080,BSHX01054691362017
